DateTime,user_name,Cpu Count,Cpu Working Time,Cpu Idle Time,Cpu Percent
2020-08-05 11:56:02.742396,dle@example.net,2,182,780,56.36580563538423
2020-02-10 15:42:48.072395,alexis98@example.net,6,12,241,4.687716771826311
2020-10-01 05:08:28.793375,toddwilliams@example.org,7,537,444,16.28224866154865
2022-04-27 12:40:59.387859,kimberly02@example.org,8,927,829,22.297669871924196
2022-01-03 01:13:17.566632,zwilson@example.com,7,76,189,22.244331849435326
2021-10-07 11:26:07.737039,nancy39@example.org,4,492,717,30.189321117388033
2020-05-13 20:30:19.462510,rodney52@example.com,8,891,284,30.528752728912046
2021-11-26 10:19:04.904371,simmonsjoseph@example.org,3,915,377,53.62871481925008
2020-05-19 01:07:21.739444,kimberlyburns@example.org,6,900,950,88.57467528483541
2020-12-13 04:24:28.976153,amywashington@example.com,1,646,827,95.77153271337173
2023-09-21 13:41:30.370855,trevor46@example.com,1,586,67,25.876951815693484
2020-05-12 14:35:33.253425,alexis98@example.net,8,690,436,11.177337485111172
2022-09-14 10:15:59.682964,kimberlyburns@example.org,6,242,10,51.115295803290095
2020-04-20 21:49:54.012588,andrew46@example.org,7,418,595,70.5679463991413
2022-06-23 02:59:22.922693,rivashannah@example.com,3,478,299,9.832717821536608
2020-03-22 10:51:54.935729,josebrown@example.com,4,732,347,77.0680600515963
2022-09-14 09:34:48.773386,josebrown@example.com,3,716,429,81.73499837610665
2022-02-18 02:26:41.720324,toddwilliams@example.org,2,694,937,5.502499314727904
2020-07-29 21:49:08.283251,ywu@example.net,6,306,213,82.73217308386937
2021-05-02 11:14:57.703015,kimberly30@example.org,1,78,337,33.61039729301617
2021-06-08 20:02:39.332967,cmoore@example.net,4,609,277,75.51254720326523
2023-07-30 14:34:12.029572,cynthiarivera@example.com,3,36,811,81.64800106365601
2023-04-29 12:13:38.648286,andrew46@example.org,2,1,238,31.099643432676306
2023-07-25 09:19:39.586498,randall95@example.org,8,175,701,39.77733859278258
2023-06-15 21:12:08.517032,kimberly30@example.org,1,302,68,92.79449931345593
2022-04-06 21:55:10.771724,wbender@example.net,7,400,708,15.771525766035843
2020-05-22 08:42:36.878275,christophermccarthy@example.net,8,735,901,62.26811231849963
2023-09-15 15:53:11.135647,rivashannah@example.com,8,834,669,50.573026268805556
2021-07-07 02:12:34.582604,davisjennifer@example.net,5,276,890,91.06246013434603
2023-01-18 20:05:06.452746,simmonsjoseph@example.org,2,630,37,17.221304904021338
2023-01-17 04:53:41.599662,davisjennifer@example.net,3,603,637,12.139050789256434
2021-01-04 09:54:34.753939,zwilson@example.com,4,707,964,15.469375425950737
2021-11-08 00:28:47.401713,nancy39@example.org,8,177,951,77.34556048239563
2020-03-24 17:31:32.125250,lauren37@example.net,2,286,374,76.82605943494099
2021-01-08 08:56:14.136073,andrew46@example.org,8,414,11,9.602478567566063
2022-03-01 19:52:09.234520,alexis98@example.net,1,985,590,26.47211235179142
2022-06-12 03:19:33.181744,trevor46@example.com,1,508,851,82.54072978912657
2020-10-18 04:13:52.326275,johnsondavid@example.org,3,653,365,1.8280318615480518
2021-06-03 05:10:19.312605,simmonsjoseph@example.org,1,170,414,21.805298026412245
