DateTime,user_name,Cpu Count,Cpu Working Time,Cpu Idle Time,Cpu Percent
2022-05-30 15:13:06.780480,rodney52@example.com,3,208,398,31.723095979607898
2020-02-08 10:05:27.137622,barbaratodd@example.org,1,483,598,33.3147043484145
2022-12-11 02:44:18.259013,derek69@example.net,8,586,397,31.848295958115024
2021-12-25 03:44:13.063498,emoore@example.com,4,996,717,91.51641202237299
2023-08-08 16:41:01.189150,priscillanolan@example.org,3,647,742,3.4939989933177817
2021-10-16 11:25:45.202037,alexis98@example.net,8,639,123,63.2635314422155
2022-11-21 09:46:28.755610,randall95@example.org,8,339,412,31.495606901480755
2021-01-25 06:37:35.968983,rivashannah@example.com,8,669,12,8.183202734376804
2022-09-28 07:27:26.483830,amywashington@example.com,5,563,482,51.06452829053277
2023-02-02 03:46:56.756770,qmarshall@example.net,6,66,926,30.16857508564792
2023-01-02 04:07:35.988678,myersmicheal@example.net,1,46,512,32.10325580749755
2020-10-21 09:22:39.629336,emilyramirez@example.com,1,179,767,40.04793815871142
2022-09-23 20:28:21.310668,randall95@example.org,4,293,286,54.74097945053886
2022-10-16 04:14:18.355870,vwilson@example.org,1,456,617,0.23057916127685596
2023-08-02 10:29:15.177539,ryancampbell@example.net,3,433,375,16.641592824688047
2020-11-08 13:55:32.213555,cmoore@example.net,5,455,629,96.35852640879666
2023-01-27 07:55:33.973846,gjohnston@example.net,4,468,594,81.25455022581585
2021-03-29 16:00:53.853006,emurphy@example.net,5,450,887,24.327821510057312
2023-10-03 01:08:48.400220,rguzman@example.com,5,935,715,82.4838684981776
2022-08-29 17:17:45.376811,myersmicheal@example.net,1,689,656,2.521388358668508
2020-11-30 10:25:11.378057,bergereric@example.com,5,181,219,64.63251856039071
2020-07-17 10:25:13.831344,christophermccarthy@example.net,1,400,287,76.34081039615425
2020-03-31 01:08:27.125828,patricia24@example.net,1,27,305,25.13620456383269
2022-10-06 11:48:12.622461,kimberlyburns@example.org,5,741,307,37.574380549562136
2021-02-25 16:52:41.855735,dle@example.net,8,351,203,23.768544029965987
2020-08-05 23:25:52.411984,jennifermontoya@example.org,7,927,559,97.0943419658902
2021-02-19 18:45:05.665041,kimberly02@example.org,3,341,374,83.5838054260795
2020-08-10 16:17:02.624625,caroline49@example.net,8,670,814,14.567337748033783
2023-04-20 01:49:22.982396,kimberly30@example.org,5,64,260,53.98584088799565
2022-05-25 18:52:59.750604,myersmicheal@example.net,6,809,148,4.089842279194289
2022-10-21 05:31:09.648981,caroline49@example.net,4,772,740,89.33578530894633
2023-08-23 04:36:58.495519,zwilson@example.com,1,981,107,51.15045729862254
2022-02-03 12:20:30.007536,cynthiarivera@example.com,8,784,178,6.49993079339527
2021-12-13 22:33:51.134788,emoore@example.com,4,660,819,10.735668276972177
2023-09-21 10:48:48.344031,aschwartz@example.org,7,420,833,95.61879928344544
2020-10-23 14:51:49.425009,kimberlyburns@example.org,1,128,252,80.91599399368886
2021-01-12 01:50:51.563535,zwilson@example.com,8,865,197,18.200238070627293
2022-09-01 02:35:48.341161,dle@example.net,1,356,669,58.877520118333926
2023-04-23 12:16:36.800935,amywashington@example.com,8,406,134,24.59620290731023
2023-11-01 10:22:18.260054,rgates@example.org,4,113,777,43.99114962808005
2020-01-08 23:36:53.257493,amywashington@example.com,3,324,596,50.864486654782745
2021-07-06 02:48:59.870950,lauren37@example.net,8,543,691,2.4460880883381164
2023-04-12 04:01:13.561364,erica31@example.org,8,587,394,41.65610956987989
2023-07-18 17:36:40.893970,wbender@example.net,2,364,531,7.790506127704965
2021-11-21 11:48:36.793923,stephen66@example.org,1,869,125,32.98279370581865
2020-11-10 03:52:36.185478,randall95@example.org,8,136,524,5.422616690057702
2022-01-26 18:43:35.967695,alexis98@example.net,2,639,701,17.819451017639377
2021-09-29 08:02:05.342246,simmonsjoseph@example.org,5,16,438,65.87342678287371
2022-07-18 03:00:00.081898,rivashannah@example.com,3,129,690,69.23502888944957
2023-05-21 15:19:27.531791,zwilson@example.com,7,911,969,73.58548233196106
2020-07-20 19:24:26.451777,qmarshall@example.net,5,804,427,57.62045250886396
2022-04-01 13:51:37.608598,johnsondavid@example.org,8,207,660,43.92700513562519
2020-02-17 22:18:39.785928,bergereric@example.com,8,481,595,98.62040379786397
2023-09-12 20:00:29.261214,emurphy@example.net,5,80,925,85.93854676769021
2020-04-30 08:23:32.364825,bergereric@example.com,1,762,58,95.94476317904687
2021-04-16 19:39:04.414505,vwilson@example.org,5,626,805,85.60852237133773
2023-04-13 16:16:18.027333,kimberly30@example.org,7,114,847,0.2927901283487633
2023-10-10 15:32:30.217133,kimberly02@example.org,5,147,371,59.28562763618631
2023-09-21 20:15:00.050959,amywashington@example.com,8,539,549,15.733321981542957
2020-06-15 02:10:34.677180,ryancampbell@example.net,1,428,814,61.28538448986155
2022-01-02 11:22:15.635602,toddwilliams@example.org,2,942,92,23.9648442378839
2022-03-11 11:18:46.077420,barbaratodd@example.org,4,102,597,42.493551964606446
2022-07-24 19:52:27.528585,kimberly30@example.org,8,926,24,67.12153511680339
2020-08-09 02:57:41.705049,myersmicheal@example.net,6,580,940,2.497806927347279
2023-04-13 23:09:00.790706,toddwilliams@example.org,2,249,506,1.7477239206789785
2021-04-04 20:14:33.607427,erica31@example.org,6,310,645,56.23428977942733
2023-09-08 05:04:51.671027,kimberly30@example.org,4,412,644,33.553612116979224
2023-05-17 05:49:18.939374,randall95@example.org,2,634,686,7.542695887088735
2023-08-24 12:48:45.220213,patricia24@example.net,5,498,371,36.50166301430391
2020-03-24 15:26:57.301086,johnsondavid@example.org,5,175,20,90.59318386106114
2020-01-24 01:34:27.575097,uhubbard@example.org,5,628,835,91.71900515175831
2023-09-02 18:25:18.383378,amywashington@example.com,6,130,592,54.127481416054955
2021-10-23 17:20:16.361739,ywu@example.net,3,246,107,39.201174093325605
2021-06-10 04:14:05.283803,caroline49@example.net,1,286,265,61.44664198307975
2022-02-13 10:14:17.537893,josebrown@example.com,5,206,568,19.695040206232616
2022-06-27 08:36:23.912736,caroline49@example.net,3,85,669,57.41482818175104
2020-08-25 08:37:26.249089,dle@example.net,5,603,214,28.44877757188422
2023-07-29 01:24:14.795780,trevor46@example.com,3,932,721,26.30754804439842
2022-02-24 07:01:07.912642,stephen66@example.org,7,852,280,60.79067971337223
2022-05-19 13:34:13.413943,gjohnston@example.net,5,374,563,75.18682745905193
2022-05-04 13:46:05.695484,gjohnston@example.net,4,925,834,26.075243213958977
2022-01-20 05:35:51.125139,rgates@example.org,1,492,510,17.660998987512322
2023-09-18 07:08:24.610158,priscillanolan@example.org,6,603,439,51.577990270503236
2023-06-28 11:03:19.685680,rgates@example.org,5,804,849,16.96788395991572
2020-09-09 22:58:24.146770,erica31@example.org,3,295,186,70.5102612276573
2021-08-08 22:53:32.537259,trevor46@example.com,1,117,411,94.45397438484318
2020-10-01 18:56:54.758694,aschwartz@example.org,8,607,133,38.46900241866161
2022-10-15 14:03:18.469818,emilyramirez@example.com,4,430,566,0.40558819534866064
2021-02-17 13:48:47.272468,caroline49@example.net,4,439,688,43.46556005855396
